id,gps_height,longitude,latitude,amount_tsh,num_private,construction_year,population,date_recorded
69572,1390.0,34.93809275,-9.85632177,6000.0,0,1999.0,109,3/14/11
8776,1399.0,34.6987661,-2.14746569,0.0,0,2010.0,280,3/6/13
34310,686.0,37.46066446,-3.82132853,25.0,0,2009.0,250,2/25/13
67743,263.0,38.48616088,-11.15529772,0.0,0,1986.0,58,1/28/13
19728,-13.6524089957,31.13084671,-1.82535885,0.0,0,-67.1386090757,0,7/13/11
9944,-7.04844006729,39.1727956,-4.76558728,20.0,0,2009.0,1,3/13/11
19816,-10.3290849628,33.36240982,-3.76636472,0.0,0,-7.62995560376,0,10/1/12
54551,7.29366800238,32.62061707,-4.22619802,0.0,0,-2.13702467695,0,10/9/12
53934,5.55791816706,32.71110001,-5.14671181,0.0,0,16.3779814013,0,11/3/12
46144,6.05983079418,30.62699053,-1.25705061,0.0,0,-40.2035066696,0,8/3/11
49056,62.0,39.20951812,-7.03413939,0.0,0,2011.0,345,2/20/11
50409,1062.0,35.77025785,-10.57417468,200.0,0,1987.0,250,2/18/13
36957,0.782856482121,33.79810612,-3.2901938,0.0,0,-4.50650082218,0,10/14/12
50495,1368.0,37.09257412,-3.1817833,0.0,0,2009.0,1,3/15/13
53752,230.815439583,34.36407268,-3.62933335,0.0,0,19.3255403119,0,10/20/12
61848,1645.0,31.44412134,-8.27496163,0.0,0,1991.0,200,8/4/11
48451,1703.0,34.64243884,-9.10618458,500.0,0,1978.0,35,7/4/11
58155,1656.0,34.56926611,-9.08551497,0.0,0,1978.0,50,9/4/11
34169,1162.0,32.92015381,-1.94786801,0.0,0,1999.0,1000,7/22/11
18274,1763.0,34.50896732,-9.8944125,500.0,0,1992.0,1,2/22/11
48375,2216.0,34.47342985,-9.59498965,200.0,0,2008.0,4,2/27/11
6091,14.5125058557,0.136335861856,-2e-08,0.0,0,-3.18129094408,0,2/10/13
58500,1510.0,34.58690108,-8.98001429,0.0,0,1978.0,350,10/4/11
37862,672.0,37.94002949,-4.12559468,500.0,0,2011.0,210,11/3/13
